"site","slice_start","slice_end","p_occupied"
"CCE_Site",1650,1700,0.74575
"Chenango_Point",1650,1700,0.034
"Chenango_Shores_East",1650,1700,0
"Denton Reed 2",1650,1700,0
"Deposit_Airport1",1650,1700,0
"Egli",1650,1700,0.02475
"Engelbert",1650,1700,0.0795
"Fortin",1650,1700,0.00625
"Gardepe",1650,1700,0.0045
"Herrick Hollow I",1650,1700,0.00325
"Herrick Hollow II",1650,1700,0
"Herrick Hollow V",1650,1700,0.00275
"Jamba",1650,1700,0.00225
"Lamb",1650,1700,0.0225
"Lamoree",1650,1700,0.00975
"Lords_Wells",1650,1700,0
"Otsiningo_Market",1650,1700,0
"Owego River Crossing",1650,1700,0
"Owego Southside Sewage Treatment",1650,1700,0.03225
"PC2",1650,1700,0.00175
"Port Dickinson",1650,1700,0
"Raish-2",1650,1700,0.05475
"Roberson",1650,1700,0.00025
"Roundtop",1650,1700,0.03125
"Russ",1650,1700,0.3005
"Sidney Airport",1650,1700,0.3035
"Street",1650,1700,0
"Thomas_Luckey",1650,1700,0
"White",1650,1700,0.00575
"Apalachin Creek",1700,1750,0.19275
"Ayers1",1700,1750,0
"Bates",1700,1750,0
"Broome_Tech",1700,1750,5e-04
"Castle Creek",1700,1750,0.01225
"CCE_Site",1700,1750,0.56075
"Chenango_Point",1700,1750,0.00625
"Chenango_Shores_East",1700,1750,0
"Denton Reed 2",1700,1750,0
"Deposit_Airport1",1700,1750,0
"Egli",1700,1750,0.01475
"Engelbert",1700,1750,0.024
"Fortin",1700,1750,0.00325
"Gardepe",1700,1750,0.00675
"Herrick Hollow I",1700,1750,0.00175
"Herrick Hollow II",1700,1750,0
"Herrick Hollow V",1700,1750,0.00275
"Jamba",1700,1750,5e-04
"Lamb",1700,1750,0.0055
"Lamoree",1700,1750,0.006
"Lords_Wells",1700,1750,0
"Otsiningo_Market",1700,1750,0
"Owego River Crossing",1700,1750,0
"Owego Southside Sewage Treatment",1700,1750,0.01075
"PC2",1700,1750,0.0015
"Port Dickinson",1700,1750,0
"Raish-2",1700,1750,0.0385
"Roberson",1700,1750,0.00025
"Roundtop",1700,1750,0.0065
"Russ",1700,1750,0.2345
"Sidney Airport",1700,1750,0.121
"Street",1700,1750,0
"Thomas_Luckey",1700,1750,0
"White",1700,1750,0.007
